"businessentityid","nationalidnumber","loginid","jobtitle","birthdate","maritalstatus","gender","hiredate","salariedflag","vacationhours","sickleavehours","currentflag","rowguid","modifieddate","organizationnode"
19,"52541318",adventure-works\mary2,Marketing Assistant,1978-01-29,S,F,2011-02-14,false,43,41,true,"1f6da901-c7f7-48a8-8eef-d81868d72b52",2014-06-30 00:00:00.000,/2/3/
20,"323403273",adventure-works\wanida0,Marketing Assistant,1975-03-17,M,F,2011-01-07,false,41,40,true,"43cca446-da1c-454c-8530-873ad2923e1b",2014-06-30 00:00:00.000,/2/4/
21,"243322160",adventure-works\terry0,Marketing Specialist,1986-02-04,M,M,2009-03-02,false,44,42,true,ad0d7626-4506-45c4-898f-9d7a0e13aabd,2014-06-30 00:00:00.000,/2/5/
22,"95958330",adventure-works\sariya0,Marketing Specialist,1987-05-21,S,M,2008-12-12,false,45,42,true,af21f1b7-0691-48ad-b325-b8f2d7b2268a,2014-06-30 00:00:00.000,/2/6/
23,"767955365",adventure-works\mary0,Marketing Specialist,1962-09-13,M,F,2009-01-12,false,46,43,true,"90899830-127e-4876-85ca-7f6e03025281",2014-06-30 00:00:00.000,/2/7/
24,"72636981",adventure-works\jill0,Marketing Specialist,1979-06-18,M,F,2009-01-18,false,47,43,true,"53575c58-fba1-4c1a-b8ff-95e050b44393",2014-06-30 00:00:00.000,/2/8/
25,"519899904",adventure-works\james1,Vice President of Production,1983-01-07,S,M,2009-02-03,true,64,52,true,d7314f24-2af1-429c-9bbb-4038f45f3e6c,2014-06-30 00:00:00.000,/3/
26,"277173473",adventure-works\peter0,Production Control Manager,1982-11-03,M,M,2008-12-01,true,43,41,true,"69d5d162-e817-45e7-9dec-5d9b8310e7b1",2014-12-26 09:17:08.637,/3/1/
27,"446466105",adventure-works\jo0,Production Supervisor - WC60,1956-10-08,S,F,2008-02-27,false,80,60,true,"83ffaac6-b895-481f-b897-14f965d4da47",2014-06-30 00:00:00.000,/3/1/1/
28,"14417807",adventure-works\guy1,Production Technician - WC60,1988-03-13,M,M,2006-06-30,false,21,30,true,aae1d04a-c237-4974-b4d5-935247737718,2014-06-30 00:00:00.000,/3/1/1/1/
29,"948320468",adventure-works\mark1,Production Technician - WC60,1979-09-25,S,M,2009-01-23,false,19,29,true,cdb2c6df-93e5-4558-91c8-424d5e7c658b,2014-06-30 00:00:00.000,/3/1/1/2/
30,"410742000",adventure-works\britta0,Production Technician - WC60,1989-09-28,M,F,2009-01-29,false,14,27,true,fc12677f-42f8-4790-ad69-685088ed7e5f,2014-06-30 00:00:00.000,/3/1/1/3/
31,"750246141",adventure-works\margie0,Production Technician - WC60,1986-05-20,M,F,2009-01-04,false,18,29,true,"352d6e2f-655b-49a2-9fec-efd7d8cd0d30",2014-06-30 00:00:00.000,/3/1/1/4/
32,"330211482",adventure-works\rebecca0,Production Technician - WC60,1977-07-10,M,F,2008-12-29,false,23,31,true,bdadeb5c-a596-4da1-88ba-842c7a0cc10f,2014-06-30 00:00:00.000,/3/1/1/5/
33,"801758002",adventure-works\annik0,Production Technician - WC60,1976-12-26,M,M,2008-12-17,false,17,28,true,"51fde6ac-bd50-467c-90e5-10ca7310455c",2014-06-30 00:00:00.000,/3/1/1/6/
34,"754372876",adventure-works\suchitra0,Production Technician - WC60,1987-06-10,M,F,2009-02-16,false,15,27,true,"6adbd932-0da5-4f5c-af67-8e3a53630896",2014-06-30 00:00:00.000,/3/1/1/7/
35,"999440576",adventure-works\brandon0,Production Technician - WC60,1977-01-10,M,M,2009-02-08,false,22,31,true,ca5d1935-44e2-4c45-93bb-809e59f56796,2014-06-30 00:00:00.000,/3/1/1/8/
36,"788456780",adventure-works\jose0,Production Technician - WC60,1984-07-31,M,M,2009-02-10,false,20,30,true,"9e912556-88ba-41ee-b946-cb84ab4c1102",2014-06-30 00:00:00.000,/3/1/1/9/
37,"442121106",adventure-works\chris2,Production Technician - WC60,1986-08-07,S,M,2009-03-07,false,16,28,true,"77b384c7-affb-4816-992b-f5b3034ee4ff",2014-06-30 00:00:00.000,/3/1/1/10/
38,"6298838",adventure-works\kim1,Production Technician - WC60,1966-12-14,M,F,2010-01-16,false,24,32,true,"891c27f4-28cc-44bb-bea3-da5ea7fbe957",2014-06-30 00:00:00.000,/3/1/1/11/
39,"461786517",adventure-works\ed0,Production Technician - WC60,1971-09-11,S,M,2010-02-05,false,25,32,true,"8ef22fb3-af37-4b44-8862-d60a7cb09d82",2014-06-30 00:00:00.000,/3/1/1/12/
40,"309738752",adventure-works\jolynn0,Production Supervisor - WC60,1956-01-16,S,F,2007-12-26,false,82,61,true,"2cc71b96-f421-485e-9832-8723337749bb",2014-06-30 00:00:00.000,/3/1/2/
41,"458159238",adventure-works\bryan0,Production Technician - WC60,1973-08-27,S,M,2009-01-21,false,35,37,true,"4652d4e4-6a27-47ed-9f51-c377e293da28",2014-06-30 00:00:00.000,/3/1/2/1/
42,"339712426",adventure-works\james0,Production Technician - WC60,1984-07-25,M,M,2008-12-27,false,39,39,true,"82e52d5a-165b-4c6d-9773-c3a6b6332ecd",2014-06-30 00:00:00.000,/3/1/2/2/
43,"693325305",adventure-works\nancy0,Production Technician - WC60,1988-11-19,M,F,2009-01-02,false,34,37,true,"6b7eb306-9a00-496a-98a9-4e94fe72f77c",2014-06-30 00:00:00.000,/3/1/2/3/
44,"276751903",adventure-works\simon0,Production Technician - WC60,1990-05-17,S,M,2008-12-08,false,38,39,true,f734d38a-56b5-471e-8ded-a682e958a9b3,2014-06-30 00:00:00.000,/3/1/2/4/
45,"500412746",adventure-works\thomas0,Production Technician - WC60,1986-01-10,M,M,2009-02-26,false,37,38,true,"8ff3af67-32f2-4a08-98c3-a40f842d41a3",2014-06-30 00:00:00.000,/3/1/2/5/
46,"66073987",adventure-works\eugene1,Production Technician - WC60,1976-02-10,S,M,2009-02-08,false,36,38,true,"33543b35-77da-4600-a41b-1eafea0ad643",2014-06-30 00:00:00.000,/3/1/2/6/
47,"33237992",adventure-works\andrew0,Production Supervisor - WC10,1988-09-06,S,M,2009-02-22,false,65,52,true,"08365b05-c143-4260-a93c-6b69418b1946",2014-06-30 00:00:00.000,/3/1/3/
48,"690627818",adventure-works\ruth0,Production Technician - WC10,1956-06-04,M,F,2008-01-06,false,83,61,true,"3e3b6905-209e-442e-b8a8-9a0980241c6a",2014-06-30 00:00:00.000,/3/1/3/1/
49,"912265825",adventure-works\barry0,Production Technician - WC10,1956-03-26,S,M,2008-01-07,false,88,64,true,"756a60ae-378f-43d8-9f93-1e821d1eaf52",2014-06-30 00:00:00.000,/3/1/3/2/
50,"844973625",adventure-works\sidney0,Production Technician - WC10,1956-08-30,M,M,2008-02-02,false,84,62,true,"40d603d9-7f99-48b7-a580-b17cf429bed2",2014-06-30 00:00:00.000,/3/1/3/3/
51,"132674823",adventure-works\jeffrey0,Production Technician - WC10,1956-07-11,S,M,2008-02-20,false,85,62,true,"6e086f41-b81d-4bdc-9f13-0eec488dc43e",2014-06-30 00:00:00.000,/3/1/3/4/
52,"565090917",adventure-works\doris0,Production Technician - WC10,1956-04-04,M,F,2008-03-10,false,86,63,true,"692b8826-03b4-4c3b-82fc-1fc6f1409689",2014-06-30 00:00:00.000,/3/1/3/5/
53,"9659517",adventure-works\diane0,Production Technician - WC10,1956-03-29,M,F,2008-03-28,false,87,63,true,c334b2d2-0c56-4906-9095-f1d07a98cbec,2014-06-30 00:00:00.000,/3/1/3/6/
54,"109272464",adventure-works\bonnie0,Production Technician - WC10,1986-09-10,M,F,2010-01-01,false,89,64,true,e950a52a-df61-4fec-9063-545664d65b89,2014-06-30 00:00:00.000,/3/1/3/7/
55,"233069302",adventure-works\taylor0,Production Supervisor - WC50,1956-04-01,M,M,2008-02-08,false,79,59,true,"28f7ef89-2793-4989-b67d-25046543c1e3",2014-06-30 00:00:00.000,/3/1/4/
56,"652535724",adventure-works\denise0,Production Technician - WC50,1988-07-06,M,F,2009-02-05,false,9,24,true,"77878c43-f16e-437d-892f-3cfcc0715a0a",2014-06-30 00:00:00.000,/3/1/4/1/
57,"10708100",adventure-works\frank1,Production Technician - WC50,1971-07-24,S,M,2009-02-23,false,10,25,true,b395cd84-77ba-4d3c-a49d-d9e8d6cf100b,2014-06-30 00:00:00.000,/3/1/4/2/
58,"571658797",adventure-works\kendall0,Production Technician - WC50,1986-05-30,M,M,2008-12-05,false,11,25,true,"65207627-5521-4a8e-ad3c-b2f1b5226b85",2014-06-30 00:00:00.000,/3/1/4/3/
59,"843479922",adventure-works\bob0,Production Technician - WC50,1979-08-16,S,M,2008-12-24,false,12,26,true,"68616aea-81e5-4940-a7e4-6fba882bccf6",2014-06-30 00:00:00.000,/3/1/4/4/
60,"827686041",adventure-works\pete0,Production Technician - WC50,1977-02-03,S,M,2009-01-11,false,13,26,true,"1f1d813d-3edc-4274-8e9b-4519d71685b6",2014-06-30 00:00:00.000,/3/1/4/5/
61,"92096924",adventure-works\diane2,Production Technician - WC50,1989-08-09,S,F,2009-01-18,false,8,24,true,"721a2921-c415-46de-9111-13f25f428b8b",2014-06-30 00:00:00.000,/3/1/4/6/
62,"494170342",adventure-works\john0,Production Supervisor - WC60,1956-08-07,M,M,2008-03-17,false,81,60,true,d4ed1f78-7c28-479b-bfef-a73228ba2aaa,2014-06-30 00:00:00.000,/3/1/5/
63,"414476027",adventure-works\maciej0,Production Technician - WC60,1955-01-30,S,M,2010-01-29,false,30,35,true,"3229d93f-6a14-4bac-abc5-a91b9ecfb4d3",2014-06-30 00:00:00.000,/3/1/5/1/
64,"582347317",adventure-works\michael7,Production Technician - WC60,1973-09-05,S,M,2010-02-23,false,26,33,true,"492b24bd-bde9-4371-b96e-ccd72264b91f",2014-06-30 00:00:00.000,/3/1/5/2/
65,"8066363",adventure-works\randy0,Production Technician - WC60,1970-04-28,M,M,2010-02-23,false,29,34,true,"9a08108d-e039-4862-8f93-55f18017ad72",2014-06-30 00:00:00.000,/3/1/5/3/
66,"834186596",adventure-works\karan0,Production Technician - WC60,1970-03-07,S,M,2009-12-22,false,28,34,true,"08b1ba74-dd80-4fda-8327-93268b84977b",2014-06-30 00:00:00.000,/3/1/5/4/
67,"63179277",adventure-works\jay0,Production Technician - WC60,1976-02-11,S,M,2009-03-05,false,32,36,true,"18187809-5294-474f-85a1-d5be6bd518d6",2014-06-30 00:00:00.000,/3/1/5/5/
68,"537092325",adventure-works\charles0,Production Technician - WC60,1971-09-02,S,M,2009-12-03,false,27,33,true,cdc11292-df74-4fb0-8676-5b2aa4687142,2014-06-30 00:00:00.000,/3/1/5/6/
69,"752513276",adventure-works\steve0,Production Technician - WC60,1991-04-06,S,M,2009-02-15,false,31,35,true,"12f678d7-ead3-4cf4-8518-a19aacf2a6d4",2014-06-30 00:00:00.000,/3/1/5/7/
70,"36151748",adventure-works\david2,Production Technician - WC60,1984-12-29,M,M,2008-12-15,false,33,36,true,fc617bb8-d2a3-4374-873c-8ef38d80127d,2014-06-30 00:00:00.000,/3/1/5/8/
71,"578935259",adventure-works\michael3,Production Supervisor - WC30,1989-01-29,S,M,2009-02-15,false,70,55,true,"1ad772d7-7b4a-4a7b-8676-49dd7608cb94",2014-06-30 00:00:00.000,/3/1/6/
72,"443968955",adventure-works\steven0,Production Technician - WC30,1977-05-14,M,M,2008-12-01,false,41,40,true,"0a8937c9-68aa-4d48-ba4e-b40493d764aa",2014-06-30 00:00:00.000,/3/1/6/1/
73,"138280935",adventure-works\carole0,Production Technician - WC30,1983-10-19,M,F,2008-12-19,false,42,41,true,c76a41f1-a390-4ae4-a82a-2a87764c6391,2014-06-30 00:00:00.000,/3/1/6/2/
74,"420023788",adventure-works\bjorn0,Production Technician - WC30,1989-11-06,S,M,2009-01-07,false,43,41,true,a942e1e0-2d5e-4858-97c0-947020e96860,2014-06-30 00:00:00.000,/3/1/6/3/
75,"363996959",adventure-works\michiko0,Production Technician - WC30,1982-06-27,S,M,2009-01-26,false,44,42,true,f359f5b6-5e18-4c62-8531-14d951911ce5,2014-06-30 00:00:00.000,/3/1/6/4/
76,"227319668",adventure-works\carol0,Production Technician - WC30,1988-10-17,M,F,2009-02-12,false,45,42,true,"8d0182a3-5b59-4eea-9b3c-c7f05da9a2ce",2014-06-30 00:00:00.000,/3/1/6/5/
77,"301435199",adventure-works\merav0,Production Technician - WC30,1983-05-13,M,F,2009-03-03,false,46,43,true,"2ee7914a-62d3-473b-a0e1-e4e55341ec4e",2014-06-30 00:00:00.000,/3/1/6/6/
78,"370989364",adventure-works\reuben0,Production Supervisor - WC40,1987-08-27,M,M,2008-12-15,false,72,56,true,"71eee2a6-b9b3-4bf4-8949-01239df7c901",2014-06-30 00:00:00.000,/3/1/7/
79,"697712387",adventure-works\eric1,Production Technician - WC40,1966-12-08,M,M,2010-01-24,false,60,50,true,"55f62e38-9457-46c8-a824-e46a3117a935",2014-06-30 00:00:00.000,/3/1/7/1/
80,"943170460",adventure-works\sandeep0,Production Technician - WC40,1970-12-03,S,M,2010-01-17,false,65,52,true,"606c21e2-3ec0-48a6-a9fe-6bc8123ac786",2014-06-30 00:00:00.000,/3/1/7/2/
81,"413787783",adventure-works\mihail0,Production Technician - WC40,1971-03-09,S,M,2009-12-29,false,64,52,true,"03a9ba14-0d5b-4671-b851-2c1721efbf01",2014-06-30 00:00:00.000,/3/1/7/3/
82,"58791499",adventure-works\jack1,Production Technician - WC40,1973-08-29,S,M,2010-03-03,false,62,51,true,d308d387-f7f3-4b5f-abda-faf5574245cd,2014-06-30 00:00:00.000,/3/1/7/4/
83,"988315686",adventure-works\patrick1,Production Technician - WC40,1973-12-23,M,M,2010-02-12,false,61,50,true,"296c52ae-169f-4292-975d-c508476dcecf",2014-06-30 00:00:00.000,/3/1/7/5/
84,"947029962",adventure-works\frank3,Production Technician - WC40,1952-03-02,M,M,2010-02-05,false,66,53,true,"9af24acc-ea3e-4efe-b5e3-4762c496d57c",2014-06-30 00:00:00.000,/3/1/7/6/
85,"1662732",adventure-works\brian2,Production Technician - WC40,1970-12-23,S,M,2009-12-11,false,63,51,true,c294f676-caaf-4924-9730-bc81ae408be1,2014-06-30 00:00:00.000,/3/1/7/7/
86,"769680433",adventure-works\ryan0,Production Technician - WC40,1972-06-13,M,M,2009-01-05,false,59,49,true,"10e5bd6f-2b9c-4192-a94d-6a2d50ea1adb",2014-06-30 00:00:00.000,/3/1/7/8/
87,"7201901",adventure-works\cristian0,Production Supervisor - WC10,1984-04-11,M,M,2008-12-22,false,67,53,true,"5be16416-8570-417d-9e54-047db468b5e9",2014-06-30 00:00:00.000,/3/1/8/
88,"294148271",adventure-works\betsy0,Production Technician - WC10,1966-12-17,S,F,2009-12-18,false,99,69,true,ebcdba1c-6c1d-4d36-90f7-1893755c85e3,2014-06-30 00:00:00.000,/3/1/8/1/
89,"90888098",adventure-works\patrick0,Production Technician - WC10,1986-09-10,S,M,2010-02-01,false,96,68,true,d5fbe9e6-b8c5-484c-b4b8-48059e0ef267,2014-06-30 00:00:00.000,/3/1/8/2/
90,"82638150",adventure-works\danielle0,Production Technician - WC10,1986-09-07,S,F,2010-02-20,false,97,68,true,bb886159-1400-4264-b7c9-a3769beb1274,2014-06-30 00:00:00.000,/3/1/8/3/
91,"390124815",adventure-works\kimberly0,Production Technician - WC10,1986-09-13,S,F,2010-01-12,false,95,67,true,ce256b6c-1eee-43ed-9969-7cac480ff4d7,2014-06-30 00:00:00.000,/3/1/8/4/
92,"826454897",adventure-works\tom0,Production Technician - WC10,1986-10-01,M,M,2010-03-10,false,98,69,true,b3bf7fc5-2014-48ce-b7bb-76124fa8446c,2014-06-30 00:00:00.000,/3/1/8/5/
93,"778552911",adventure-works\kok-ho0,Production Supervisor - WC50,1980-04-28,S,M,2008-12-27,false,78,59,true,"57fb2c0f-b105-49f0-967a-88f3d743cb3f",2014-06-30 00:00:00.000,/3/1/9/
94,"718299860",adventure-works\russell0,Production Technician - WC50,1972-11-25,M,M,2008-12-12,false,6,23,true,"6b10192f-d570-47c4-82c9-3d979b1efdc1",2014-06-30 00:00:00.000,/3/1/9/1/
95,"674171828",adventure-works\jim0,Production Technician - WC50,1986-09-08,M,M,2008-12-19,false,1,20,true,"6175876e-8fcc-4917-be06-fc358515e6df",2014-06-30 00:00:00.000,/3/1/9/2/
96,"912141525",adventure-works\elizabeth0,Production Technician - WC50,1990-01-25,M,F,2009-03-02,false,5,22,true,"62a9f73f-6443-4f2f-b864-18186614bfb6",2014-06-30 00:00:00.000,/3/1/9/3/
97,"370581729",adventure-works\mandar0,Production Technician - WC50,1986-03-21,S,M,2009-02-10,false,0,20,true,"1f0e068a-48c5-40bf-8190-565150efdadd",2014-06-30 00:00:00.000,/3/1/9/4/
98,"152085091",adventure-works\sameer0,Production Technician - WC50,1978-06-26,M,M,2009-02-11,false,4,22,true,a703169f-1563-488e-914d-d784fd07f29a,2014-06-30 00:00:00.000,/3/1/9/5/
99,"431859843",adventure-works\nuan0,Production Technician - WC50,1979-03-29,S,M,2009-01-06,false,2,21,true,a6089357-2f2f-48cc-ab3c-d9b75a3c09d7,2014-06-30 00:00:00.000,/3/1/9/6/
100,"204035155",adventure-works\lolan0,Production Technician - WC50,1973-01-24,M,M,2009-01-12,false,7,23,true,"9b9b768d-7cc1-4dce-87cb-765ab73a6aff",2014-06-30 00:00:00.000,/3/1/9/7/
101,"153288994",adventure-works\houman0,Production Technician - WC50,1971-08-30,M,M,2009-01-25,false,3,21,true,"9ce8b2e8-9944-4ba5-97de-441d8314f161",2014-06-30 00:00:00.000,/3/1/9/8/
102,"360868122",adventure-works\zheng0,Production Supervisor - WC10,1983-10-26,S,M,2008-12-03,false,66,53,true,c75f2740-ace3-4ebf-91c5-7ab352e1095f,2014-06-30 00:00:00.000,/3/1/10/
103,"455563743",adventure-works\ebru0,Production Technician - WC10,1986-09-22,S,M,2009-12-06,false,93,66,true,"6c25a32b-88b5-4f84-a129-f7f688dfa588",2014-06-30 00:00:00.000,/3/1/10/1/
104,"717889520",adventure-works\mary1,Production Technician - WC10,1986-09-19,M,F,2009-12-25,false,94,67,true,"6dc9f7d0-5664-4e4a-90f5-7ab85ebb02e6",2014-06-30 00:00:00.000,/3/1/10/2/
105,"801365500",adventure-works\kevin2,Production Technician - WC10,1986-09-19,S,M,2009-12-25,false,90,65,true,"8b21e53d-e705-479a-b32e-6e63ac2f4bcd",2014-06-30 00:00:00.000,/3/1/10/3/
106,"561196580",adventure-works\john4,Production Technician - WC10,1986-09-28,S,M,2010-02-27,false,92,66,true,d4cf23d9-21b6-45e4-827c-22890df0373b,2014-06-30 00:00:00.000,/3/1/10/4/
107,"393421437",adventure-works\christopher0,Production Technician - WC10,1986-10-01,M,M,2010-02-08,false,91,65,true,f71c6055-557b-4660-86ff-8c0fa14b24e6,2014-06-30 00:00:00.000,/3/1/10/5/
108,"630184120",adventure-works\jinghao0,Production Supervisor - WC50,1989-02-05,S,M,2008-12-08,false,77,58,true,"2bca07d3-f2ac-4406-904f-e09156f3eb3e",2014-06-30 00:00:00.000,/3/1/11/
109,"113695504",adventure-works\alice0,Production Technician - WC50,1978-01-26,M,F,2008-12-07,false,95,67,true,"7e632b21-0d11-4bba-8a68-8cae14c20ae6",2014-06-30 00:00:00.000,/3/1/11/1/
110,"857651804",adventure-works\jun0,Production Technician - WC50,1979-07-06,S,M,2008-12-14,false,90,65,true,"9c5f84d1-fb96-4d82-92a1-f932903deaad",2014-06-30 00:00:00.000,/3/1/11/2/
111,"415823523",adventure-works\suroor0,Production Technician - WC50,1978-02-25,S,M,2008-12-17,false,93,66,true,"14010b0e-c101-4e41-b788-21923399e512",2014-06-30 00:00:00.000,/3/1/11/3/
112,"981597097",adventure-works\john1,Production Technician - WC50,1978-05-31,S,M,2009-01-01,false,91,65,true,b6998410-ee0f-4307-9e6e-fe348f11012d,2014-06-30 00:00:00.000,/3/1/11/4/
113,"54759846",adventure-works\linda0,Production Technician - WC50,1987-07-17,M,F,2008-12-25,false,96,68,true,fb84759c-b687-43b2-8727-125efe0f5e13,2014-06-30 00:00:00.000,/3/1/11/5/
114,"342607223",adventure-works\mindaugas0,Production Technician - WC50,1978-05-07,M,M,2009-01-13,false,97,68,true,"1d784088-dacb-4185-9f60-3d2db4925ba5",2014-06-30 00:00:00.000,/3/1/11/6/
115,"563680513",adventure-works\angela0,Production Technician - WC50,1991-05-31,S,F,2009-01-20,false,92,66,true,"4958e1c3-c872-4222-954e-09d2060ea7ef",2014-06-30 00:00:00.000,/3/1/11/7/
116,"398737566",adventure-works\michael2,Production Technician - WC50,1974-05-03,S,M,2009-01-31,false,98,69,true,c6eb2566-cf28-4602-9a25-5b91c8728838,2014-06-30 00:00:00.000,/3/1/11/8/
117,"599942664",adventure-works\chad0,Production Technician - WC50,1990-08-04,M,M,2009-02-18,false,99,69,true,"83a32d4c-4725-478f-9997-91739bb957ba",2014-06-30 00:00:00.000,/3/1/11/9/
118,"222400012",adventure-works\don0,Production Technician - WC50,1971-06-13,M,M,2009-02-13,false,88,64,true,e720053d-922e-4c91-b81a-a1ca4ef8bb0e,2014-06-30 00:00:00.000,/3/1/11/10/
119,"334834274",adventure-works\michael4,Production Technician - WC50,1989-06-15,S,M,2009-02-25,false,94,67,true,eb27c026-9470-4450-8d5e-1f38a41793b5,2014-06-30 00:00:00.000,/3/1/11/11/
120,"211789056",adventure-works\kitti0,Production Technician - WC50,1987-06-06,S,F,2009-03-04,false,89,64,true,"49a05524-fa34-45b1-95bc-489901dc5b50",2014-06-30 00:00:00.000,/3/1/11/12/
121,"521265716",adventure-works\pilar0,Shipping and Receiving Supervisor,1972-09-09,S,M,2009-01-02,true,93,66,true,"01bcce22-d63a-4c3f-9ba8-d3d5a4c3bd52",2014-06-30 00:00:00.000,/3/1/12/
122,"586486572",adventure-works\susan0,Stocker,1978-02-17,S,F,2008-12-07,false,97,68,true,"923ecfd6-e202-429a-9141-6cb183531439",2014-06-30 00:00:00.000,/3/1/12/1/
123,"337752649",adventure-works\vamsi0,Shipping and Receiving Clerk,1977-03-18,M,M,2008-12-07,false,95,67,true,a8838ab2-99de-415c-8675-d82ebf1c4752,2014-06-30 00:00:00.000,/3/1/12/2/
124,"420776180",adventure-works\kim0,Stocker,1984-04-30,S,F,2008-12-26,false,98,69,true,"6150f197-7923-40d4-84f2-936207d468ab",2014-06-30 00:00:00.000,/3/1/12/3/
125,"584205124",adventure-works\matthias0,Shipping and Receiving Clerk,1973-11-11,M,M,2009-01-20,false,94,67,true,"54ed63dc-c62c-4cc7-89c2-015df49c49a5",2014-06-30 00:00:00.000,/3/1/12/4/
126,"652779496",adventure-works\jimmy0,Stocker,1985-05-04,M,M,2009-02-26,false,96,68,true,"96442787-9520-4955-a457-38afddb6ff13",2014-06-30 00:00:00.000,/3/1/12/5/
127,"750905084",adventure-works\david4,Production Supervisor - WC40,1983-07-02,S,M,2009-01-03,false,73,56,true,"516538e8-115b-44f4-aa7b-e6c1d9f8adfc",2014-06-30 00:00:00.000,/3/1/13/
128,"384162788",adventure-works\paul0,Production Technician - WC40,1980-11-13,S,M,2008-12-04,false,68,54,true,"0217049e-1566-42b6-8027-41b751e2b00b",2014-06-30 00:00:00.000,/3/1/13/1/
129,"502058701",adventure-works\gary0,Production Technician - WC40,1988-05-16,S,M,2008-12-22,false,69,54,true,a03d6052-1f85-4ebe-aac9-b67cfdcd91a6,2014-06-30 00:00:00.000,/3/1/13/2/
130,"578953538",adventure-works\rob1,Production Technician - WC40,1973-08-04,S,M,2009-02-13,false,71,55,true,"54fda597-6822-42b4-b128-63eca03071f2",2014-06-30 00:00:00.000,/3/1/13/3/
131,"273260055",adventure-works\baris0,Production Technician - WC40,1990-10-07,S,M,2009-02-15,false,72,56,true,"232d68bf-df58-48f9-9235-53bd4b009b4b",2014-06-30 00:00:00.000,/3/1/13/4/
