"businessentityid","ratechangedate","rate","payfrequency","modifieddate"
54,2010-01-01 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
55,2008-02-08 00:00:00.000,25,2,2014-06-30 00:00:00.000
56,2009-02-05 00:00:00.000,11,1,2014-06-30 00:00:00.000
57,2009-02-23 00:00:00.000,11,1,2014-06-30 00:00:00.000
58,2008-12-05 00:00:00.000,11,1,2014-06-30 00:00:00.000
59,2008-12-24 00:00:00.000,11,1,2014-06-30 00:00:00.000
60,2009-01-11 00:00:00.000,11,1,2014-06-30 00:00:00.000
61,2009-01-18 00:00:00.000,11,1,2014-06-30 00:00:00.000
62,2008-03-17 00:00:00.000,25,2,2014-06-30 00:00:00.000
63,2010-01-29 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
64,2010-02-23 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
65,2010-02-23 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
66,2009-12-22 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
67,2009-03-05 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
68,2009-12-03 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
69,2009-02-15 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
70,2008-12-15 00:00:00.000,12.45,1,2014-06-30 00:00:00.000
71,2009-02-15 00:00:00.000,25,2,2014-06-30 00:00:00.000
72,2008-12-01 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
73,2008-12-19 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
74,2009-01-07 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
75,2009-01-26 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
76,2009-02-12 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
77,2009-03-03 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
78,2008-12-15 00:00:00.000,25,2,2014-06-30 00:00:00.000
79,2010-01-24 00:00:00.000,15,1,2014-06-30 00:00:00.000
80,2010-01-17 00:00:00.000,15,1,2014-06-30 00:00:00.000
81,2009-12-29 00:00:00.000,15,1,2014-06-30 00:00:00.000
82,2010-03-03 00:00:00.000,15,1,2014-06-30 00:00:00.000
83,2010-02-12 00:00:00.000,15,1,2014-06-30 00:00:00.000
84,2010-02-05 00:00:00.000,15,1,2014-06-30 00:00:00.000
85,2009-12-11 00:00:00.000,15,1,2014-06-30 00:00:00.000
86,2009-01-05 00:00:00.000,15,1,2014-06-30 00:00:00.000
87,2008-12-22 00:00:00.000,25,2,2014-06-30 00:00:00.000
88,2009-12-18 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
89,2010-02-01 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
90,2010-02-20 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
91,2010-01-12 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
92,2010-03-10 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
93,2008-12-27 00:00:00.000,25,2,2014-06-30 00:00:00.000
94,2008-12-12 00:00:00.000,11,1,2014-06-30 00:00:00.000
95,2008-12-19 00:00:00.000,11,1,2014-06-30 00:00:00.000
96,2009-03-02 00:00:00.000,11,1,2014-06-30 00:00:00.000
97,2009-02-10 00:00:00.000,11,1,2014-06-30 00:00:00.000
98,2009-02-11 00:00:00.000,11,1,2014-06-30 00:00:00.000
99,2009-01-06 00:00:00.000,11,1,2014-06-30 00:00:00.000
100,2009-01-12 00:00:00.000,11,1,2014-06-30 00:00:00.000
101,2009-01-25 00:00:00.000,11,1,2014-06-30 00:00:00.000
102,2008-12-03 00:00:00.000,25,2,2014-06-30 00:00:00.000
103,2009-12-06 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
104,2009-12-25 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
105,2009-12-25 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
106,2010-02-27 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
107,2010-02-08 00:00:00.000,13.45,1,2014-06-30 00:00:00.000
108,2008-12-08 00:00:00.000,25,2,2014-06-30 00:00:00.000
109,2008-12-07 00:00:00.000,11,1,2014-06-30 00:00:00.000
110,2008-12-14 00:00:00.000,11,1,2014-06-30 00:00:00.000
111,2008-12-17 00:00:00.000,11,1,2014-06-30 00:00:00.000
112,2009-01-01 00:00:00.000,11,1,2014-06-30 00:00:00.000
113,2008-12-25 00:00:00.000,11,1,2014-06-30 00:00:00.000
114,2009-01-13 00:00:00.000,11,1,2014-06-30 00:00:00.000
115,2009-01-20 00:00:00.000,11,1,2014-06-30 00:00:00.000
116,2009-01-31 00:00:00.000,11,1,2014-06-30 00:00:00.000
117,2009-02-18 00:00:00.000,11,1,2014-06-30 00:00:00.000
118,2009-02-13 00:00:00.000,11,1,2014-06-30 00:00:00.000
119,2009-02-25 00:00:00.000,11,1,2014-06-30 00:00:00.000
120,2009-03-04 00:00:00.000,11,1,2014-06-30 00:00:00.000
121,2009-01-02 00:00:00.000,19.2308,2,2014-06-30 00:00:00.000
122,2008-12-07 00:00:00.000,9,1,2014-06-30 00:00:00.000
123,2008-12-07 00:00:00.000,9.5,2,2014-06-30 00:00:00.000
124,2008-12-26 00:00:00.000,9,1,2014-06-30 00:00:00.000
125,2009-01-20 00:00:00.000,9.5,2,2014-06-30 00:00:00.000
126,2009-02-26 00:00:00.000,9,1,2014-06-30 00:00:00.000
127,2009-01-03 00:00:00.000,25,2,2014-06-30 00:00:00.000
128,2008-12-04 00:00:00.000,15,1,2014-06-30 00:00:00.000
129,2008-12-22 00:00:00.000,15,1,2014-06-30 00:00:00.000
130,2009-02-13 00:00:00.000,15,1,2014-06-30 00:00:00.000
131,2009-02-15 00:00:00.000,15,1,2014-06-30 00:00:00.000
132,2009-02-22 00:00:00.000,15,1,2014-06-30 00:00:00.000
133,2009-01-10 00:00:00.000,15,1,2014-06-30 00:00:00.000
134,2009-01-14 00:00:00.000,25,2,2014-06-30 00:00:00.000
135,2008-12-04 00:00:00.000,14,1,2014-06-30 00:00:00.000
136,2009-12-11 00:00:00.000,14,1,2014-06-30 00:00:00.000
137,2009-02-23 00:00:00.000,14,1,2014-06-30 00:00:00.000
138,2009-02-04 00:00:00.000,14,1,2014-06-30 00:00:00.000
139,2010-01-06 00:00:00.000,14,1,2014-06-30 00:00:00.000
140,2010-01-22 00:00:00.000,14,1,2014-06-30 00:00:00.000
141,2010-01-24 00:00:00.000,14,1,2014-06-30 00:00:00.000
142,2010-03-04 00:00:00.000,14,1,2014-06-30 00:00:00.000
143,2010-02-13 00:00:00.000,14,1,2014-06-30 00:00:00.000
144,2009-01-17 00:00:00.000,14,1,2014-06-30 00:00:00.000
145,2009-01-27 00:00:00.000,25,2,2014-06-30 00:00:00.000
146,2008-12-07 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
147,2008-12-26 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
148,2009-01-14 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
149,2009-01-31 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
150,2009-02-26 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
151,2009-02-19 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
152,2009-02-01 00:00:00.000,25,2,2014-06-30 00:00:00.000
153,2008-12-16 00:00:00.000,14,1,2014-06-30 00:00:00.000
154,2008-12-23 00:00:00.000,14,1,2014-06-30 00:00:00.000
155,2009-01-04 00:00:00.000,14,1,2014-06-30 00:00:00.000
156,2009-01-11 00:00:00.000,14,1,2014-06-30 00:00:00.000
157,2009-02-03 00:00:00.000,14,1,2014-06-30 00:00:00.000
158,2009-03-07 00:00:00.000,14,1,2014-06-30 00:00:00.000
159,2009-02-16 00:00:00.000,14,1,2014-06-30 00:00:00.000
160,2009-01-21 00:00:00.000,25,2,2014-06-30 00:00:00.000
161,2008-12-15 00:00:00.000,10,1,2014-06-30 00:00:00.000
162,2009-01-03 00:00:00.000,10,1,2014-06-30 00:00:00.000
163,2009-02-08 00:00:00.000,10,1,2014-06-30 00:00:00.000
164,2009-03-06 00:00:00.000,10,1,2014-06-30 00:00:00.000
165,2009-01-22 00:00:00.000,10,1,2014-06-30 00:00:00.000
166,2009-02-21 00:00:00.000,25,2,2014-06-30 00:00:00.000
167,2008-12-02 00:00:00.000,6.5,1,2008-11-18 00:00:00.000
167,2011-12-01 00:00:00.000,7.25,1,2011-11-17 00:00:00.000
167,2013-07-14 00:00:00.000,9.5,1,2013-06-30 00:00:00.000
168,2008-12-07 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
169,2008-12-14 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
170,2008-12-21 00:00:00.000,6.5,1,2008-12-07 00:00:00.000
170,2011-12-01 00:00:00.000,7.25,1,2011-11-17 00:00:00.000
170,2013-07-14 00:00:00.000,9.5,1,2013-06-30 00:00:00.000
171,2009-01-02 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
172,2009-01-16 00:00:00.000,6.5,1,2009-01-02 00:00:00.000
172,2011-12-01 00:00:00.000,7.25,1,2011-11-17 00:00:00.000
172,2013-07-14 00:00:00.000,9.5,1,2013-06-30 00:00:00.000
173,2009-01-21 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
174,2009-01-27 00:00:00.000,6.75,1,2009-01-13 00:00:00.000
174,2011-12-01 00:00:00.000,7.25,1,2011-11-17 00:00:00.000
174,2013-07-14 00:00:00.000,9.5,1,2013-06-30 00:00:00.000
175,2009-02-02 00:00:00.000,6.5,1,2009-01-19 00:00:00.000
175,2011-12-01 00:00:00.000,7.25,1,2011-11-17 00:00:00.000
175,2013-07-14 00:00:00.000,9.5,1,2013-06-30 00:00:00.000
176,2009-02-14 00:00:00.000,6.5,1,2009-01-31 00:00:00.000
176,2011-12-01 00:00:00.000,7.25,1,2011-11-17 00:00:00.000
176,2013-07-14 00:00:00.000,9.5,1,2013-06-30 00:00:00.000
177,2009-02-21 00:00:00.000,6.5,1,2009-02-07 00:00:00.000
177,2011-12-01 00:00:00.000,7.25,1,2011-11-17 00:00:00.000
177,2013-07-14 00:00:00.000,9.5,1,2013-06-30 00:00:00.000
178,2009-03-03 00:00:00.000,6.5,1,2009-02-17 00:00:00.000
178,2011-12-01 00:00:00.000,7,1,2011-11-17 00:00:00.000
178,2013-07-14 00:00:00.000,9.5,1,2013-06-30 00:00:00.000
179,2009-03-05 00:00:00.000,9.5,1,2014-06-30 00:00:00.000
180,2009-02-20 00:00:00.000,25,2,2014-06-30 00:00:00.000
181,2008-12-09 00:00:00.000,14,1,2014-06-30 00:00:00.000
182,2008-12-28 00:00:00.000,14,1,2014-06-30 00:00:00.000
183,2009-01-22 00:00:00.000,14,1,2014-06-30 00:00:00.000
184,2009-02-09 00:00:00.000,14,1,2014-06-30 00:00:00.000
185,2009-02-28 00:00:00.000,14,1,2014-06-30 00:00:00.000
186,2009-02-08 00:00:00.000,25,2,2014-06-30 00:00:00.000
187,2008-12-09 00:00:00.000,10,1,2014-06-30 00:00:00.000
188,2008-12-27 00:00:00.000,10,1,2014-06-30 00:00:00.000
189,2009-01-15 00:00:00.000,10,1,2014-06-30 00:00:00.000
190,2009-02-02 00:00:00.000,10,1,2014-06-30 00:00:00.000
191,2009-02-26 00:00:00.000,10,1,2014-06-30 00:00:00.000
192,2009-03-05 00:00:00.000,25,2,2014-06-30 00:00:00.000
193,2008-12-06 00:00:00.000,15,1,2014-06-30 00:00:00.000
194,2008-12-12 00:00:00.000,15,1,2014-06-30 00:00:00.000
195,2008-12-17 00:00:00.000,15,1,2014-06-30 00:00:00.000
196,2008-12-24 00:00:00.000,15,1,2014-06-30 00:00:00.000
197,2008-12-31 00:00:00.000,15,1,2014-06-30 00:00:00.000
198,2009-01-04 00:00:00.000,15,1,2014-06-30 00:00:00.000
199,2009-01-12 00:00:00.000,15,1,2014-06-30 00:00:00.000
200,2009-01-17 00:00:00.000,15,1,2014-06-30 00:00:00.000
201,2009-01-29 00:00:00.000,15,1,2014-06-30 00:00:00.000
202,2009-02-05 00:00:00.000,15,1,2014-06-30 00:00:00.000
203,2009-02-24 00:00:00.000,15,1,2014-06-30 00:00:00.000
204,2009-03-08 00:00:00.000,15,1,2014-06-30 00:00:00.000
205,2009-02-26 00:00:00.000,25,2,2014-06-30 00:00:00.000
206,2008-12-02 00:00:00.000,10,1,2014-06-30 00:00:00.000
207,2008-12-02 00:00:00.000,10,1,2014-06-30 00:00:00.000
208,2009-01-08 00:00:00.000,10,1,2014-06-30 00:00:00.000
209,2009-01-27 00:00:00.000,10,1,2014-06-30 00:00:00.000
210,2009-02-20 00:00:00.000,10,1,2014-06-30 00:00:00.000
211,2009-02-28 00:00:00.000,28.8462,2,2014-06-30 00:00:00.000
212,2008-12-09 00:00:00.000,21.6346,2,2014-06-30 00:00:00.000
213,2010-02-23 00:00:00.000,10.5769,2,2014-06-30 00:00:00.000
214,2009-02-02 00:00:00.000,10.5769,2,2014-06-30 00:00:00.000
215,2009-01-15 00:00:00.000,10.5769,2,2014-06-30 00:00:00.000
216,2008-12-28 00:00:00.000,10.5769,2,2014-06-30 00:00:00.000
217,2009-01-04 00:00:00.000,17.7885,2,2014-06-30 00:00:00.000
218,2008-12-16 00:00:00.000,16.8269,2,2014-06-30 00:00:00.000
219,2009-01-22 00:00:00.000,10.25,2,2014-06-30 00:00:00.000
220,2009-02-09 00:00:00.000,10.25,2,2014-06-30 00:00:00.000
221,2009-03-06 00:00:00.000,16.8269,2,2014-06-30 00:00:00.000
222,2008-12-12 00:00:00.000,23.5577,2,2014-06-30 00:00:00.000
223,2009-01-26 00:00:00.000,16,2,2014-06-30 00:00:00.000
224,2008-01-08 00:00:00.000,8.62,2,2007-12-25 00:00:00.000
224,2011-08-31 00:00:00.000,13.5,2,2011-08-17 00:00:00.000
224,2012-01-01 00:00:00.000,16,2,2011-12-18 00:00:00.000
225,2009-02-13 00:00:00.000,16,2,2014-06-30 00:00:00.000
226,2009-03-03 00:00:00.000,16,2,2014-06-30 00:00:00.000
227,2009-12-02 00:00:00.000,24.0385,2,2014-06-30 00:00:00.000
228,2008-12-14 00:00:00.000,20.4327,2,2014-06-30 00:00:00.000
229,2010-02-16 00:00:00.000,9.25,1,2014-06-30 00:00:00.000
230,2010-03-05 00:00:00.000,9.25,1,2014-06-30 00:00:00.000
231,2010-03-07 00:00:00.000,9.25,1,2014-06-30 00:00:00.000
232,2010-01-27 00:00:00.000,9.25,1,2014-06-30 00:00:00.000
233,2009-12-21 00:00:00.000,9.75,2,2014-06-30 00:00:00.000
234,2009-01-31 00:00:00.000,39.06,2,2009-01-17 00:00:00.000
234,2011-11-14 00:00:00.000,48.5577,2,2011-10-31 00:00:00.000
234,2012-01-29 00:00:00.000,60.0962,2,2012-01-15 00:00:00.000
235,2008-12-06 00:00:00.000,27.1394,2,2014-06-30 00:00:00.000
236,2009-02-25 00:00:00.000,13.9423,2,2014-06-30 00:00:00.000
237,2009-02-06 00:00:00.000,13.9423,2,2014-06-30 00:00:00.000
238,2009-01-01 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
239,2008-12-25 00:00:00.000,16.5865,2,2014-06-30 00:00:00.000
240,2008-12-13 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
241,2009-01-30 00:00:00.000,34.7356,2,2014-06-30 00:00:00.000
242,2008-12-18 00:00:00.000,19,2,2014-06-30 00:00:00.000
243,2009-01-06 00:00:00.000,19,2,2014-06-30 00:00:00.000
244,2009-01-24 00:00:00.000,19,2,2014-06-30 00:00:00.000
245,2009-02-18 00:00:00.000,26.4423,2,2014-06-30 00:00:00.000
246,2009-02-11 00:00:00.000,19,2,2014-06-30 00:00:00.000
247,2009-03-01 00:00:00.000,19,2,2014-06-30 00:00:00.000
248,2009-03-08 00:00:00.000,26.4423,2,2014-06-30 00:00:00.000
249,2008-12-25 00:00:00.000,43.2692,2,2014-06-30 00:00:00.000
250,2011-02-21 00:00:00.000,9.86,2,2011-02-07 00:00:00.000
250,2011-07-30 00:00:00.000,22.5,2,2011-07-16 00:00:00.000
250,2012-07-14 00:00:00.000,30,2,2012-06-30 00:00:00.000
251,2009-02-10 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
252,2009-02-28 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
253,2009-12-17 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
254,2010-01-04 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
255,2010-01-11 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
256,2010-01-23 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
257,2010-01-27 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
258,2010-01-31 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
259,2010-03-09 00:00:00.000,18.2692,2,2014-06-30 00:00:00.000
260,2010-12-06 00:00:00.000,12.75,2,2014-06-30 00:00:00.000
261,2010-12-25 00:00:00.000,12.75,2,2014-06-30 00:00:00.000
262,2009-01-12 00:00:00.000,13.4615,2,2014-06-30 00:00:00.000
263,2008-12-11 00:00:00.000,50.4808,2,2014-06-30 00:00:00.000
264,2009-02-04 00:00:00.000,39.6635,2,2014-06-30 00:00:00.000
265,2008-12-04 00:00:00.000,32.4519,2,2014-06-30 00:00:00.000
266,2009-02-23 00:00:00.000,32.4519,2,2014-06-30 00:00:00.000
267,2009-02-16 00:00:00.000,27.4038,2,2014-06-30 00:00:00.000
268,2009-02-03 00:00:00.000,27.4038,2,2014-06-30 00:00:00.000
269,2009-01-11 00:00:00.000,27.4038,2,2014-06-30 00:00:00.000
270,2009-01-17 00:00:00.000,38.4615,2,2014-06-30 00:00:00.000
271,2009-01-22 00:00:00.000,38.4615,2,2014-06-30 00:00:00.000
272,2008-12-23 00:00:00.000,27.4038,2,2014-06-30 00:00:00.000
273,2011-02-15 00:00:00.000,72.1154,2,2014-06-30 00:00:00.000
274,2011-01-04 00:00:00.000,48.101,2,2014-06-30 00:00:00.000
275,2011-05-31 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
276,2011-05-31 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
277,2011-05-31 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
278,2011-05-31 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
279,2011-05-31 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
280,2011-05-31 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
281,2011-05-31 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
282,2011-05-31 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
283,2011-05-31 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
284,2012-09-30 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
285,2013-03-14 00:00:00.000,48.101,2,2014-06-30 00:00:00.000
286,2013-05-30 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
287,2012-04-16 00:00:00.000,48.101,2,2014-06-30 00:00:00.000
288,2013-05-30 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
289,2012-05-30 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
290,2012-05-30 00:00:00.000,23.0769,2,2014-06-30 00:00:00.000
